id,name,totalExp,skills
640417ac-3ee9-49d3-b7c3-3161236c5643,"Roosevelt Senger-Torp",12,"{Next.js,Tailwind,React}"
de1ef624-a517-43e7-956b-755a63d048b3,"Dr. Wilfred Schowalter",11,"{Redux,React,Tailwind}"
be8d26bb-9ce7-4ae1-9738-8efb0b1445e7,"Erika Bogisich-Oberbrunner",4,"{Tailwind,Next.js,Redux}"
90e1dda9-c549-4972-8a9e-af6d784564b6,"Mr. Jesse Dooley",13,"{React,Next.js,Redux}"
e4ee367d-48ba-414d-9f1b-3b2b43445786,"Holly Fay",14,"{React,Redux,Tailwind}"
dda0ddaf-c5e5-4ba6-a0ba-b9b2bef56183,"Elijah Jacobi I",11,"{React,Tailwind,Redux}"
041e7fa8-bf77-4cfb-ad77-ef6a27ca0979,"Wilbert Toy",13,"{Redux,Tailwind,Next.js}"
4d81d4d6-c182-44fd-90f6-44466305da39,"Willy Will",5,"{Redux,Tailwind,Next.js}"
e8b58fea-58fd-486e-a78a-135265e93fdb,"Jason Dach Sr.",7,"{Redux,Tailwind,Next.js}"
87387caf-d2cf-4588-8df7-92f99379c780,"Bulah Yundt",10,"{Next.js,Redux,Tailwind}"
f8764808-bd34-4eba-b2d2-faff6df6adcc,"Justus Cremin",8,"{React,Redux,Next.js}"
e0c4f879-a484-4944-a870-dc0c2dbb6663,"Gertrude Ratke",3,"{Next.js,React,Redux}"
84dc3eb5-60d4-4314-94d1-5c456ef32d5f,"Kristopher Hagenes",8,"{Tailwind,Next.js,React}"
f2d4797b-7940-41d8-a32b-dd34a44bf203,"Delilah Toy",2,"{Redux,Tailwind,React}"
18435aab-6d08-4df8-a6b8-e72dd4ba5824,"Manley Haag",11,"{Tailwind,React,Next.js}"
6fbdd87f-25e6-400c-9b4c-21987939ca06,"Mr. Callie Wiegand",8,"{Tailwind,React,Next.js}"
64cf9742-c2e2-4a35-ad4c-888b7acd4a08,"Darrell Gerhold",13,"{Tailwind,Redux,Next.js}"
ca9b64e0-ca4d-4ab6-8deb-8e62a661dbdf,"Kaitlin Ritchie DDS",6,"{React,Redux,Next.js}"
5670527a-ed3a-4a77-8094-26670f3dce14,"Nora Jacobs",5,"{Redux,Tailwind,React}"
7ab97fff-8d00-4597-81a0-c1493681efad,"Lana Zieme",13,"{React,Next.js,Redux}"
7288c580-5e35-4f82-9a0e-235feeb309bc,"Louis Schultz II",1,"{React,Redux,Next.js}"
1b9da6ba-2dfb-4fc9-a515-f37f576491c5,"Aletha Torphy",12,"{Redux,Tailwind,Next.js}"
c77b24b3-b40e-43b7-bed2-84af8dcbb6c3,"Caden Goodwin",3,"{Tailwind,Redux,Next.js}"
4da98f88-7e82-462f-8499-cd5a002841f7,"Darren Bahringer",10,"{React,Redux,Next.js}"
85b5aa83-2c9b-42cd-9f41-d6feb26f02c7,"Mr. Dee Bartoletti",5,"{Redux,Next.js,Tailwind}"
e2d1edee-e106-4182-a472-b757f597c9c3,"Clayton Gutkowski",9,"{React,Tailwind,Next.js}"
9ef82705-722b-4b65-83bc-6be94d717da6,"Walter Yundt",15,"{Redux,Tailwind,React}"
25f22fde-2c4b-4ab1-a8d5-133352a21b27,"Howard Murray",14,"{Redux,React,Next.js}"
4d2802ca-fc87-4b30-9e0d-fff3c3db5c20,"James Osinski",8,"{Tailwind,Next.js,Redux}"
c3a166c8-3e62-462e-afd3-6da00527d4fb,"Janet Lang",7,"{Redux,React,Tailwind}"
d4c08497-0b2a-4a9b-8cb8-a30955593cf1,"Karson Littel",12,"{Redux,React,Tailwind}"
184ffb75-02f0-459a-9141-1389439f6588,"Miriam Kuhlman",13,"{Tailwind,Next.js,React}"
69b5f99a-24f9-4c3f-94cb-5d49ad83f8a6,"Charlie Rolfson",7,"{React,Next.js,Redux}"
a15be3ca-ec30-448d-a483-a5e9be7ad455,"Michelle Moen",8,"{Tailwind,Next.js,React}"
a7380cf8-f53b-40c1-8d12-908f3ec3f93a,"Andre Hermiston",9,"{Redux,React,Tailwind}"
22c99a41-a554-42f6-8a54-bb0ca81730c5,"Sandrine Williamson",2,"{Next.js,React,Redux}"
5a4d7325-8c18-4a5f-a179-f74439fb54d4,"Ines Fadel",6,"{Tailwind,Redux,React}"
24e92225-5b6d-4ffd-87c0-9ef0cf05431b,"Dr. Jacinto Jerde",8,"{Tailwind,Redux,React}"
2dd29680-8c9c-4bd0-a453-077dc4c37a20,"Retta Smith",14,"{React,Next.js,Tailwind}"
7496f333-7981-4a44-85d3-ebd9c6dcfe65,"Melody Jast",11,"{React,Redux,Next.js}"
1947588c-2010-48bf-a494-27dabbc3a4ef,"Heather Halvorson",13,"{Redux,Tailwind,Next.js}"
a0f82a73-ffe6-45aa-9997-1e5600ec6b7c,"Annette Daniel",6,"{Redux,Next.js,Tailwind}"
595ea75d-4f5e-4e3c-bbf8-5bc55f1c9554,"Brionna Wolff",10,"{React,Tailwind,Redux}"
98dd6fb7-6d37-4508-8668-ff0fe41b0b87,"Claude Konopelski",5,"{Redux,Tailwind,Next.js}"
74378cfd-bcc9-4a49-9335-22b7a5f145ad,"Rochelle Orn",8,"{React,Tailwind,Redux}"
95ac3a1d-1719-4aea-a06b-f1d921f973be,"Alexis Feeney-Mertz",5,"{Next.js,Redux,React}"
0c127ebc-910d-4b91-a8ff-1f3459ee9bbb,"Miss Edwina Rolfson",9,"{React,Redux,Tailwind}"
fa677b43-03b3-42d6-8fbb-2922205e792c,"Megan Labadie",4,"{React,Next.js,Tailwind}"
96d108ae-c71b-48d5-9c12-2ca90227f5d2,"Mr. Herbert McCullough-Zulauf",6,"{Next.js,Tailwind,React}"
a3536336-ea00-4722-aaac-20be1e1d7441,"Bryant Stehr-Wyman",15,"{Next.js,Redux,Tailwind}"
6076c775-0ac7-4370-980d-11337eddbcd8,"Dr. Ubaldo Welch",7,"{Tailwind,React,Next.js}"
e8a3c472-4a81-4e98-911b-298f1559175c,"Eriberto Breitenberg",5,"{Tailwind,Next.js,Redux}"
707b05aa-4e28-4315-9b72-7965dcfca8b0,"Arlene Sanford",4,"{Tailwind,Redux,Next.js}"
53fddaf6-d7a0-4d55-9fba-1b80ed07015c,"Whitney Walter",7,"{Redux,Next.js,React}"
a9ac65ce-4d33-4a7d-a5c1-68be6b09c8a4,"Ellie Donnelly",10,"{React,Redux,Tailwind}"
17446cae-ed6d-474f-8efa-f9d6c7671687,"Fanny Heaney",12,"{Next.js,Redux,React}"
c7ca8fa9-a5d6-4aea-8a70-91ca7b3dc8d6,"Marlene Braun",6,"{React,Redux,Next.js}"
6ec8501e-552f-418b-b707-680a1cfc33c1,"Leopoldo Willms",8,"{Next.js,Redux,Tailwind}"
a0c1071c-92be-4869-b0e8-445cf51944aa,"Marcelo Gottlieb",13,"{React,Redux,Next.js}"
970ae7a4-06a2-49f1-a411-7788d37816dd,"Jermaine Hickle",6,"{Redux,React,Next.js}"
bc8fbcc4-1055-4152-bbb3-016c01f6c554,"Brian Kunze V",4,"{Tailwind,Redux,React}"
89b5d5ca-d6a2-4c60-ac0e-490afe2e6a57,"Julie Oberbrunner",5,"{Next.js,Redux,React}"
ac9c66c9-d785-446f-a953-ca6cbb3dd0af,"Tom DuBuque",8,"{Redux,React,Tailwind}"
4251a704-99ad-418a-840f-80e32a0c7d6f,"Derick Stracke",11,"{Tailwind,Redux,Next.js}"
1bbbe43e-02bc-410e-8338-057575b1d8c6,"Sadye Hauck",11,"{React,Redux,Tailwind}"
202c22d1-0817-4c46-ae86-91f5832ae831,"Miss Julia Tremblay DDS",3,"{Redux,Next.js,React}"
938b3e11-fc4d-46ae-a3a3-36f4f8d8a348,"Odie Kutch",13,"{React,Tailwind,Redux}"
cf3e482f-8c37-414c-8b80-0599e49fdc73,"Walter Bernier-Kiehn",9,"{React,Redux,Next.js}"
1416bad5-e407-4f2e-9743-64648f0fef11,"Claudia McKenzie",14,"{Redux,React,Tailwind}"
5aa9f8bc-9063-40ba-9dea-034079ab9c72,"Sue Hane",5,"{Next.js,React,Redux}"
c48225eb-7280-4c89-a58e-c77b8b31ab53,"Mattie Mohr",4,"{Tailwind,Redux,Next.js}"
b30335e7-e10a-41f8-97db-7c4c5f0de508,"Clifford Kiehn Sr.",4,"{Redux,React,Tailwind}"
89eb3fae-3461-4396-bf3f-c6e74b2af06d,"Mrs. Jo Crooks",4,"{Tailwind,React,Redux}"
7bbaedcd-df28-4788-b77a-2c1a007355a5,"Daisy Schroeder IV",6,"{Tailwind,React,Next.js}"
76e3379f-a3b7-4e09-b750-0dae6a68d9de,"Esperanza Terry",1,"{Tailwind,Redux,React}"
42ec97cb-c0d1-4ad2-83a1-775bcda9a71d,"Brendan Hauck I",9,"{Redux,React,Next.js}"
6e8ce801-bf12-4ec9-9e07-db7bd9de317a,"Alexie Wisozk",12,"{Next.js,React,Tailwind}"
f6297994-f371-4df7-a723-bff00544a72f,"Tiffany Thiel",11,"{React,Next.js,Redux}"
72e18681-9a3c-4891-8a95-bd876b19de61,"Joan Schuster",13,"{React,Next.js,Tailwind}"
55811178-4090-452f-bbf8-6852a7f48fc8,"Estefania Monahan",10,"{React,Next.js,Tailwind}"
0693b473-f143-412d-80e0-83a7d9c0920b,"Wayne Roberts",13,"{Tailwind,Redux,Next.js}"
6d80ae4f-7a68-4332-a7a1-0d0c21182fd9,"Mr. Petra Wisozk PhD",9,"{Next.js,Redux,React}"
881b1111-2434-4812-a319-53ece755df27,"Joy Walker",9,"{React,Tailwind,Redux}"
d77e9d8d-561c-4892-9654-8b8b38eef647,"Lynne Cole",12,"{Next.js,Tailwind,Redux}"
bb3bebbf-4b6a-4160-9fa9-c002f4ff0629,"Ruby Glover",3,"{Tailwind,React,Next.js}"
5ee7ef02-5227-452f-9652-2264c16a955f,"Bobbie Rodriguez",15,"{Tailwind,Next.js,React}"
cc2af5ad-3178-47da-8fb7-edc917723d4e,"Virgie Cartwright",1,"{Tailwind,Redux,React}"
ec535a09-423e-49c8-b048-0e7cc19e9e3b,"Jeffrey Ritchie",14,"{Redux,Next.js,React}"
1f9835d5-c249-4c54-bfba-c1877602ea30,"Eileen Daugherty",14,"{Redux,Tailwind,React}"
4e11e66b-795a-41eb-9b7b-faadd3a4b91c,"Rafael Thiel",11,"{Next.js,Tailwind,Redux}"
d3aa9529-72ee-441a-ad88-4b0d983b7879,"Ottis Parker",8,"{Redux,React,Next.js}"
b7735a22-2182-4c7e-a7f4-7d4161f92aab,"Kian Welch",13,"{Tailwind,Redux,Next.js}"
0c1f7611-3e0b-4960-99cc-b8cffa719204,"Ervin Lesch",7,"{React,Tailwind,Redux}"
638458b2-ae0d-48d8-ae73-ad512ab289ba,"Maurine Rogahn",8,"{React,Tailwind,Next.js}"
687fed3a-08c9-40d9-81a3-215f4bfbd60a,"Ludie King",2,"{Redux,Next.js,Tailwind}"
aa1c7354-ec88-4475-bcc0-eeeaab9b3f06,"Tina Wiza",11,"{Redux,Tailwind,Next.js}"
a8b64d4f-447f-46b6-8b6d-6fadd559a8a6,"Omar Schiller",13,"{Redux,React,Next.js}"
0fbed4e6-69ae-434a-8976-cc64ed62a7ee,"Ed Olson",2,"{Tailwind,Next.js,Redux}"
971d8056-2e9b-4944-90d0-38dda1bc11a5,"Jeremiah Leuschke",7,"{Next.js,Redux,Tailwind}"
3f5c304c-6135-48ad-ac31-8407dfb54450,"Mrs. Jaunita Fadel",11,"{Tailwind,React,Redux}"
bea974df-d8b3-441a-beb3-1847b2bd6083,"Julian Carter-Conroy",1,"{Redux,React,Next.js}"
ef5c9269-8b73-4d9a-aca0-ccca39c0d6ff,"Rosa Erdman",1,"{React,Next.js,Tailwind}"
45c0b5ae-f770-4c47-8570-9b5de678c59b,"Irene Kunde",9,"{Tailwind,Next.js,React}"
bcb468e6-1094-499c-a5b2-0465460501f0,"Howard Hyatt",12,"{Tailwind,Redux,Next.js}"
2ff17c12-2e6b-4ec7-b1a2-ac63657ed2bf,"Julie Stiedemann",13,"{Next.js,Redux,Tailwind}"
cd1f5733-6341-47c9-b26a-896826f8e1e7,"Jeanie Von",3,"{Next.js,Tailwind,Redux}"
f7d50cfc-bebd-4474-932b-d589bd3e47b7,"Dr. Nathan Durgan",14,"{Next.js,Tailwind,Redux}"
6ded518d-0fee-4555-ac8f-9b10a96a8395,"Dustin Bechtelar",3,"{Redux,Tailwind,Next.js}"
703b1f19-8bc2-4e2f-8ca6-25e6efe47c63,"Mr. Micah Walker",7,"{Tailwind,Redux,Next.js}"
207c1c35-15d3-44e3-b862-fd55020b50d1,"Mckayla Schroeder",4,"{Tailwind,React,Next.js}"
43672318-5624-48e1-9022-4507db042508,"Ms. Jenny Yost",14,"{Tailwind,React,Redux}"
34739d1a-53cd-4d6f-a1dd-0b1e2d6d7776,"Manuela Casper",10,"{React,Tailwind,Redux}"
22938c6f-6271-4d4c-a9aa-78397c39ba5f,"Hattie Gutmann",15,"{React,Next.js,Redux}"
b430c3e3-d41e-4bfa-8a15-4631372ec6bd,"Genevieve McLaughlin",6,"{Redux,Tailwind,React}"
7cef127b-606e-4ddb-a692-dba6076825ea,"Alysha Pagac",12,"{Tailwind,Redux,React}"
0865a617-4de3-41e3-b7ed-0e1dfa66fcd0,"Audreanne Medhurst",7,"{Next.js,React,Redux}"
499c62d5-c0ab-4f90-acbc-005b1344c1c6,"Estell Schaden DVM",8,"{Redux,Next.js,Tailwind}"
a3149e6a-ccb5-4eef-8e74-ee21478f79fc,"Giles Shields",7,"{Redux,Tailwind,Next.js}"
6625929b-3d02-472f-bc5d-a1d490d790d0,"Mr. Jonatan Bins-Kirlin",11,"{Redux,Next.js,Tailwind}"
8cccc10e-d1c5-4e81-8b59-c624d5c20067,"Alexis Bins",15,"{Next.js,Tailwind,Redux}"
decbe1c9-e8f0-4e5b-931a-e0c21d89c451,"Alice Schowalter",9,"{React,Next.js,Tailwind}"
ec39a4d1-b036-4905-a0e4-3ead539233bb,"Glenn Koch",4,"{Tailwind,React,Redux}"
62e70e81-988e-4892-b4c8-66ec9820f6d8,"Gail Hilpert",6,"{React,Next.js,Tailwind}"
fb6b7017-d333-425e-bcf5-fe7f1dbb5bca,"Maxie Crist",13,"{Tailwind,Next.js,Redux}"
d87f58c4-b68f-48db-bc54-d7b6c76df894,"Aliya Parker",3,"{Next.js,Redux,React}"
82dc61d3-1b70-4cf7-b517-641d3fcf26d3,"Nick Wolff",7,"{Redux,Tailwind,Next.js}"
f5814458-15ae-4f69-b1d3-8a2f3c96fa53,"Elbert Leffler",2,"{Tailwind,Next.js,React}"
415f5b55-15b1-482c-abc1-1059793d46e1,"Domingo Ward",5,"{Redux,Tailwind,React}"
7ea1ab2e-50a7-4d44-8af2-37d53b70f7bc,"Dr. Lukas Metz",3,"{Tailwind,Redux,React}"
919ec933-807d-4c17-ba1a-32d4da61be35,"Katrina Spencer",11,"{Redux,React,Tailwind}"
e061475e-1394-46d4-96e8-a04c64347e65,"Miss Kennedy Treutel",11,"{Next.js,Tailwind,React}"
870f5839-8164-43cb-b4a1-c5ee0716a56c,"Bulah Cronin",5,"{Redux,Tailwind,React}"
eb3a2ac1-8145-4c25-8198-81eaf5f62b25,"Lena Jerde",12,"{Next.js,Redux,React}"
c86fca2e-fdf7-4e01-96b1-3b5cf11a5633,"Tara Cremin",7,"{Tailwind,Next.js,React}"
85880def-b8b6-4c25-b7de-7b917f7be12e,"Jarrell Bergstrom",15,"{Tailwind,React,Next.js}"
fcecb5f2-e321-4d2d-9758-085a90b15d86,"Jenny Ortiz",4,"{Redux,Tailwind,Next.js}"
7c221300-5e14-4d7f-935c-5053e3a55e95,"Justin McGlynn PhD",5,"{React,Redux,Next.js}"
66c2912a-62dc-4c85-be87-53a24fb026ef,"Dr. Olivia Collins",2,"{Next.js,Redux,React}"
4ef64eb9-4600-40b9-8619-944407ffad24,"Webster Breitenberg",10,"{Redux,Next.js,Tailwind}"
d9128908-c9e8-4ccd-93da-7bca8afedeb2,"Terri Hane",8,"{Next.js,Tailwind,React}"
cff01088-68a2-406b-9f7f-430394408cb9,"Annie Turner",10,"{Tailwind,Redux,React}"
f7ba3bf9-54e8-40a4-b0e5-ffb004b4422e,"Marvin Kerluke",7,"{Tailwind,React,Next.js}"
d1e604ba-421b-4229-8d7e-c122abb9cfc2,"Madeline McGlynn",14,"{Next.js,Redux,React}"
91769235-e116-4741-b1c2-3237ffa51fb1,"Jane Walker",2,"{Redux,React,Tailwind}"
cb9584eb-0809-4b56-931b-bebd4e99a9c0,"Wade Konopelski",11,"{Redux,Tailwind,React}"
a52d1bd4-af2f-403a-8537-3690b92dc5a3,"Shayne Jacobson",12,"{Next.js,Tailwind,Redux}"
21f7151a-31aa-48f1-ad6f-d1bcee74755a,"Gerry Lynch",7,"{Redux,Next.js,React}"
2e4f0dc6-94a1-4b51-b772-12bcfd3e927d,"Angelina Larkin",15,"{React,Redux,Next.js}"
e3e80d64-0dae-400d-8ea6-6212138fe546,"Amy Auer V",6,"{Tailwind,Next.js,React}"
4a13cf82-b06d-41f0-ba4e-a84ac60b7bd1,"Makenzie Cummings",15,"{Tailwind,React,Next.js}"
ab4b5128-fd57-4b4b-86b0-5d4d3be4c4ab,"Leila Buckridge",12,"{Tailwind,Redux,Next.js}"
7d1b27ca-f190-4881-8766-9726fb1ffc35,"Jeanne Stamm",10,"{React,Tailwind,Next.js}"
85fad9f8-41fd-4e5e-ab66-c2b282aa7448,"Eudora Renner",7,"{Next.js,React,Redux}"
591d94f0-f5c2-4218-98d0-03364b1c66c2,"Keven Stracke",9,"{Next.js,React,Tailwind}"
776bb44d-3a5a-4a20-b1bc-a4bac10bf796,"Dr. Perry Fay",6,"{Redux,Next.js,React}"
c341b60a-44ed-407e-91cf-16acb2977ed1,"Telly Schoen-Bauch",5,"{Redux,Next.js,Tailwind}"
e44278d3-0e19-4ae7-8273-6deca0e1a511,"Rosemary Smitham",1,"{Next.js,React,Redux}"
c59b12fc-e3e4-4681-813d-4ad34bcb4fcd,"Zaria Bauch",10,"{Tailwind,Next.js,Redux}"
0a9a67e0-1da1-472e-b1a4-9295effb611e,"Kristina Jacobson-Bauch",4,"{React,Next.js,Tailwind}"
918ec094-1f82-43b8-b4aa-b774a4c90368,"Debbie Beer",5,"{React,Next.js,Tailwind}"
bb651409-82fc-4f89-99b3-939a2dc6e8e4,"Marion Pfannerstill PhD",7,"{React,Tailwind,Next.js}"
f8b31bfc-b7a8-4f90-82fa-ca0708e7ab7c,"Nathen McGlynn",13,"{Next.js,Tailwind,Redux}"
7643cef8-881a-4a60-bed1-b5063af99753,"Sister Stamm",1,"{Next.js,React,Tailwind}"
8947f088-b2b4-4e4f-b1e6-653dc9fbfda1,"Alek Heller",1,"{Tailwind,React,Redux}"
499e325f-89fc-45db-9922-37f2baace5f5,"Rudy Runte",14,"{Redux,Next.js,React}"
9f804d37-b8e2-4a1f-b5ff-3e7a9421936a,"Charlie King",11,"{Next.js,React,Tailwind}"
96d2d83f-8b98-4cc3-9a97-f019ad9436c7,"Cody Hettinger",6,"{React,Tailwind,Redux}"
41b79ded-0f26-4ee4-882a-328a5fc7a035,"Jenny Schoen",3,"{Tailwind,React,Redux}"
3b5517ac-a21c-4573-b34d-bee97e0b59da,"Jeremiah Schimmel DVM",7,"{Tailwind,Redux,React}"
240f713b-7c6e-4875-a137-1c67b8ecd0cc,"Faustino Jacobi",8,"{Redux,Next.js,React}"
b5ea604d-258a-48fd-ac02-840f399adc71,"Mr. Aliya Lind",14,"{Next.js,Redux,React}"
bbfeb8a7-b34b-4e2c-a2c2-a19889ab6b4b,"Kaylah Hudson",10,"{Tailwind,React,Next.js}"
83fedc0a-124a-4cae-b30c-806f16bd9ccf,"Zackary Graham",1,"{Tailwind,Next.js,Redux}"
a02fe46d-bbfe-4163-9495-93ad46f98d4a,"Sabrina Balistreri",4,"{Next.js,Tailwind,React}"
feda8018-af28-466b-9670-b1b5e54aa063,"Yvonne Jakubowski",5,"{React,Tailwind,Next.js}"
32d7f499-2bed-45b1-8aa6-58231f2313ba,"Lorena Wisozk III",13,"{Next.js,Tailwind,React}"
29280202-5391-4c96-895c-299cdeea0743,"Stephanie Kohler",4,"{Redux,Next.js,Tailwind}"
a58410cc-4257-4cdd-a866-0ab8e843503f,"Violette Grimes Sr.",11,"{Tailwind,Redux,Next.js}"
8a409417-8bc4-4f16-b139-6d4cd813e447,"Eileen Hintz",5,"{React,Tailwind,Next.js}"
84c0a4b4-418f-4af2-ab03-35332a673cd9,"Lorena Pouros",12,"{Redux,Tailwind,React}"
367c2307-ae3e-41dc-a1c9-86b8bbad464b,"Ronald Deckow",14,"{Tailwind,React,Redux}"
3339ba3b-50dc-4a31-a15c-292f4939f7cf,"Mathew Bruen",1,"{Next.js,React,Tailwind}"
62dabc15-d15a-4ddf-b6da-18badb1055d4,"Lucienne Berge",4,"{Next.js,Tailwind,Redux}"
bf4ed3de-41ab-4462-a783-a43508f2af21,"Mateo Murazik",2,"{Tailwind,React,Next.js}"
4544afdd-8987-44dd-b4a5-e3e2708bdd25,"Rudolph Cole",1,"{Redux,Next.js,Tailwind}"
df99f8a4-2bb0-4f2e-ae0d-df1a6ab6eb14,"Dr. Lorenz Dooley",3,"{Next.js,React,Redux}"
e51b105e-24d8-4ac1-8436-c59aae711251,"Jordy Pfeffer",2,"{Next.js,React,Tailwind}"
6027063c-f04a-4da0-a602-ee14c6a3d259,"Mrs. Jana Kuhn",3,"{Redux,Next.js,React}"
8d4c68d3-ed36-4da0-bc20-c79c62b1acb4,"Dr. Austin McDermott",13,"{Tailwind,React,Redux}"
c0a9b949-1938-411c-843e-4882266c5169,"Eliane Krajcik",1,"{Redux,Next.js,Tailwind}"
481fbd2f-3f5a-4051-8e5f-2795edbec6be,"Laurie Hoeger II",6,"{Next.js,Redux,Tailwind}"
8ef1e38d-64de-4e19-be1f-ede2ffd08467,"Elvira Fadel",6,"{React,Next.js,Tailwind}"
ce040798-1c1e-49e4-a675-2358b7f0a60e,"Candice Lynch",13,"{Redux,Next.js,React}"
8bd43ad2-a21a-4152-9ad7-62f3d484d291,"Andre Koss",12,"{Tailwind,React,Redux}"
9c1c9099-7e11-4a9a-8fe4-38a86389ae13,"Rudy Stanton",3,"{React,Tailwind,Next.js}"
bec89246-e0aa-4bd4-aa79-f47b8c9bc676,"Tammy Walker",1,"{Tailwind,Redux,React}"
b302ed0e-708b-4a00-8266-8e35104c4c06,"Marlene Batz",1,"{React,Redux,Next.js}"
e0c074f1-fed2-41b2-94f3-ac10ba01e8e3,"Flavie Marvin PhD",3,"{Redux,React,Tailwind}"
5c2859a5-f1a6-4222-adbd-3d179eb615b2,"Emma Douglas",4,"{Redux,Next.js,React}"
ea1eb6f5-e74f-48b9-9187-f28adbdd4b42,"Mr. Dallas Funk",5,"{Next.js,Tailwind,React}"
0c26fbea-d986-4be1-b281-0803efa305b1,"Melvina Zieme",2,"{Tailwind,Redux,React}"
89f455e8-dff1-4821-8852-b84fd5949f38,"Vince Macejkovic",5,"{Redux,React,Tailwind}"
1cdc1d39-41b4-402e-a85e-ee12f72c0fbb,"Ms. Whitney Thompson",11,"{React,Redux,Next.js}"
f57d7bd3-2bec-40fa-9960-9893e78d3f8d,"Isom Bergnaum",10,"{Next.js,Redux,Tailwind}"
3ff9437d-e940-4def-8933-5fbc75ad6da9,"Ethel Hilll",11,"{Tailwind,Next.js,React}"
01796715-18ae-4cdd-a98a-256ee8d0ab7e,"Lon Nader",6,"{Tailwind,Redux,React}"
3902179b-c20f-48e0-8553-862ec3853e56,"Helena Moore",8,"{React,Next.js,Redux}"
3d8d9369-e832-4428-a532-57018bad8f73,"Lori Abshire",14,"{React,Next.js,Tailwind}"
a4b31c68-d02a-4c0a-9e38-f1e45df94604,"Ms. Lila Kilback",10,"{React,Tailwind,Next.js}"
ecf02ef2-aa99-4d8f-bdb6-856cc339feea,"Rubye Dietrich",10,"{Redux,Next.js,Tailwind}"
